osm_id,shop,name,addr-housenumber,addr-street,addr-city,addr-postcode,the_geom,osm_original_geom,osm_type
67938784,mobile_phone,SFR,,Place Charles de Gaulle,,,POINT (488502.5448293545 5561807.005759301),"SRID=3857;POLYGON((488489.028025504 5561801.68776007,488500.772231783 5561800.07690086,488505.514442091 5561799.42004573,488514.920939063 5561798.01249918,488514.4756611 5561800.20201613,488514.342077711 5561803.84599908,488514.553584743 5561806.61417594,488514.586980591 5561807.06771913,488515.410744823 5561812.1974505,488505.147087771 5561815.84143826,488502.775982617 5561816.68596782,488502.931829905 5561814.13673994,488489.128213046 5561813.1358163,488489.028025504 5561801.68776007))",way
68070468,mobile_phone,Phone Case,,,,,POINT (791817.966226464 5398820.659215133),"SRID=3857;POLYGON((791814.14651892 5398825.80567805,791815.348769421 5398814.91275444,791815.71612374 5398814.63620647,791821.894355479 5398815.81921727,791820.491729895 5398826.63532297,791819.612305918 5398826.43559363,791814.14651892 5398825.80567805))",way
68077110,mobile_phone,Agence SFR,,,,,POINT (788812.8542568135 5403662.341769899),"SRID=3857;POLYGON((788803.210327791 5403663.13144965,788815.989805334 5403653.63166394,788822.268224615 5403661.84021607,788810.034212576 5403670.89422678,788803.210327791 5403663.13144965))",way
68679833,mobile_phone,Orange,,,,,POINT (342656.78110441973 5481061.7452754695),"SRID=3857;POLYGON((342643.730371003 5481069.5260201,342646.936372338 5481061.9302315,342653.348375007 5481046.58365742,342657.689835148 5481044.38243375,342661.274322752 5481042.70826398,342662.599024692 5481045.23502032,342659.014537089 5481054.84600168,342668.844048126 5481058.87641622,342663.378261128 5481072.20780002,342667.730853218 5481073.88197517,342669.801395747 5481074.73456449,342664.702963068 5481075.57165226,342661.875448002 5481076.08320593,342643.730371003 5481069.5260201))",way
69175354,mobile_phone,SFR,,,,,POINT (251085.11984341833 6135758.819775414),"SRID=3857;POLYGON((251074.532502323 6135753.38711969,251083.972395142 6135747.51131795,251093.145121183 6135761.68335799,251095.00415668 6135765.27227645,251091.653440007 6135767.29208703,251094.069072957 6135770.88100784,251091.230425942 6135772.86743442,251088.491966468 6135769.07820092,251090.250814423 6135767.67601802,251086.944625546 6135762.7349944,251082.54750566 6135765.85651913,251074.532502323 6135753.38711969))",way
70938399,mobile_phone,Espace SFR,,,,,POINT (-210423.0490092957 5917891.783170761),"SRID=3857;POLYGON((-210436.740131039 5917892.68099576,-210430.829066078 5917877.64068772,-210422.869722486 5917870.91813416,-210418.094116331 5917876.63149049,-210412.973419754 5917882.84944948,-210416.368664224 5917885.48638631,-210407.5855564 5917896.21319307,-210418.884484716 5917905.50759925,-210416.724886594 5917908.2910398,-210423.136889264 5917913.32076796,-210429.615683628 5917904.92161188,-210428.157398299 5917903.7821921,-210432.509990389 5917898.18275992,-210436.740131039 5917892.68099576))",way
71103020,mobile_phone,Libre-phone Téléboutique,,,,,POINT (74018.00218453626 5999156.174999296),"SRID=3857;POLYGON((74013.1790868581 5999167.38285801,74014.6039763403 5999144.47938667,74022.8304867099 5999144.97228714,74021.3944652787 5999167.87575978,74013.1790868581 5999167.38285801))",way
71310461,mobile_phone,SFR -Business Team,,,,,POINT (-46838.53188169739 5834444.012533687),"SRID=3857;POLYGON((-46848.2844987425 5834439.8111716,-46834.4029582405 5834434.08736372,-46828.7479281082 5834448.25984128,-46842.7407881009 5834453.88691775,-46848.2844987425 5834439.8111716))",way
71765044,mobile_phone,Orange,,,,,POINT (-268857.85933663225 5995829.668093785),"SRID=3857;POLYGON((-268877.290935488 5995842.0015545,-268873.339093565 5995813.0793606,-268838.551752692 5995816.98820343,-268839.943246327 5995826.26760628,-268837.705724562 5995828.59977634,-268840.689086915 5995830.57062477,-268842.848685036 5995846.68232748,-268877.290935488 5995842.0015545))",way
76218685,mobile_phone,SFR,7,Rue du Change,Vendôme,41100.0,POINT (118896.09985416921 6072347.058407933),"SRID=3857;POLYGON((118877.883843053 6072349.15811758,118890.474077462 6072343.44154031,118897.553997077 6072340.34299131,118898.745115628 6072339.72990956,118898.433421054 6072339.08368829,118903.854680255 6072336.84676892,118909.086696323 6072334.70926872,118911.680440458 6072340.97264289,118913.96249002 6072346.68921853,118881.713233537 6072358.37092838,118879.642691008 6072357.40987931,118878.952510165 6072354.19533665,118877.883843053 6072349.15811758))",way
77797682,computer;mobile_phone,Tech'n Repair,,,,,POINT (287852.76686462923 5834941.33595259),"SRID=3857;POLYGON((287830.380458714 5834954.80785419,287836.658877995 5834941.73101641,287842.614470753 5834929.33141873,287849.282508251 5834915.44840483,287875.153157911 5834927.86410729,287863.052729262 5834953.06642461,287860.113894705 5834959.177554,287856.251108375 5834967.22361207,287830.380458714 5834954.80785419))",way
78649471,mobile_phone,Danu Phone,8,Rue du 8 Mai 1945,,,POINT (257787.44164272168 6238123.685223226),"SRID=3857;POLYGON((257774.73020173 6238119.64107016,257787.019873514 6238110.839082,257797.840128019 6238126.16231872,257801.246504437 6238130.97723344,257796.437502435 6238134.52506708,257792.830750933 6238129.42294487,257785.160838017 6238134.77848383,257783.145955234 6238131.85574448,257774.73020173 6238119.64107016))",way
78763272,mobile_phone,Espace 06,25,Rue Charles de Gaulle,Gournay-en-Bray,76220.0,POINT (191970.5420714142 6357093.707141968),"SRID=3857;POLYGON((191959.252000277 6357094.03938974,191985.311893072 6357084.01575595,191985.979810017 6357087.56257884,191972.009213922 6357093.04559303,191974.369187127 6357097.31206593,191963.393085335 6357103.30911985,191959.252000277 6357094.03938974))",way
80613696,mobile_phone,Orange,8,Place de la République,,,POINT (226709.17326366963 5519575.437380891),"SRID=3857;POLYGON((226683.919999859 5519576.48319661,226685.901486795 5519565.38391155,226711.427046034 5519569.74267546,226718.373382259 5519571.47061459,226735.338472656 5519575.62701004,226734.147354105 5519580.98206915,226732.677936826 5519585.48094391,226683.919999859 5519576.48319661))",way
80653654,mobile_phone,Lamp GSM,1bis,Rue Charles Auguste Duguet,,,POINT (275588.51838389557 6319272.9003711855),"SRID=3857;POLYGON((275570.909652989 6319274.78912133,275583.488755449 6319256.94700382,275594.019579278 6319264.28171294,275596.245969094 6319265.79982796,275606.320383011 6319272.79339503,275595.967670367 6319287.684595,275589.622459392 6319283.30081404,275586.160423228 6319280.91276311,275583.945165361 6319284.00017194,275582.709519013 6319283.07906642,275577.566558539 6319279.47993288,275570.909652989 6319274.78912133))",way
80685147,mobile_phone,Lamp_GSM,,,,,POINT (275571.3904508576 6319285.996361348),"SRID=3857;POLYGON((275562.816726009 6319286.25176362,275570.909652989 6319274.78912133,275577.566558539 6319279.47993288,275575.295640926 6319282.6014562,275580.494261147 6319286.25176362,275573.236230347 6319296.52039393,275564.119164051 6319290.51614346,275562.816726009 6319286.25176362))",way
83316202,mobile_phone,Coriolis Telecom,,Rue Charles Lindbergh,Janzé,35150.0,POINT (-165620.93245578918 6098864.959448322),"SRID=3857;POLYGON((-165656.048194545 6098865.72705096,-165650.237317126 6098856.83483986,-165623.620826877 6098874.38657753,-165601.21221338 6098840.11418373,-165591.171195311 6098846.76255205,-165611.865488649 6098878.45871877,-165618.733901231 6098873.987674,-165620.43708944 6098876.46420037,-165619.602193259 6098877.01269288,-165625.413070679 6098885.82181986,-165626.670980925 6098885.00739076,-165656.048194545 6098865.72705096))",way
84398374,mobile_phone,LillePhone Salim,,,,,POINT (339577.4520076078 6554188.64507468),"SRID=3857;POLYGON((339568.061895977 6554187.70380387,339579.917421747 6554181.12436218,339582.210603257 6554185.42293015,339583.568701045 6554187.98452683,339583.101159183 6554192.2129176,339580.284776066 6554196.59921737,339568.061895977 6554187.70380387))",way
84399981,mobile_phone,,,,,,POINT (339468.292141204 6555262.611668919),"SRID=3857;POLYGON((339458.389933648 6555264.9431951,339459.09124644 6555262.62692865,339464.612693183 6555264.31148601,339465.314005975 6555262.06540961,339459.792559232 6555260.43349512,339461.195184816 6555255.62549085,339477.180663694 6555260.20537806,339475.555399128 6555265.52226182,339474.31975278 6555269.57572994,339458.389933648 6555264.9431951))",way
86227450,mobile_phone,SFR,,,,,POINT (-159214.6082175229 5888357.388724243),"SRID=3857;POLYGON((-159223.829905325 5888364.65747989,-159216.594138423 5888346.00151173,-159211.083823629 5888347.86710676,-159205.573508834 5888349.73270219,-159212.252678282 5888368.7131304,-159217.59601384 5888366.76641792,-159218.263930785 5888366.92864394,-159223.829905325 5888364.65747989))",way
86361352,mobile_phone,Orange,,,,,POINT (432200.07064157265 5628289.423264235),"SRID=3857;POLYGON((432190.442335103 5628284.09273463,432204.546514587 5628282.97414638,432207.808175667 5628282.42272968,432209.09948176 5628294.66418828,432196.331136166 5628297.4685402,432195.819066509 5628292.8838979,432190.698369932 5628293.02569092,432190.442335103 5628284.09273463))",way
87841223,mobile_phone,SFR,,,Reims,51100.0,POINT (447519.0489767795 6324126.933712818),"SRID=3857;POLYGON((447497.918722392 6324111.4486963,447498.953993656 6324110.76600443,447517.41076523 6324100.69630579,447540.208996944 6324142.4600329,447520.716954106 6324153.21247679,447499.944737124 6324115.15230066,447498.675694929 6324112.89941671,447497.918722392 6324111.4486963))",way
89441009,mobile_phone,Internity Téléphonie,,,,,POINT (-58004.668896733725 5771357.6283652345),"SRID=3857;POLYGON((-58013.2064112428 5771356.47307652,-58002.3304969923 5771349.02897228,-57995.9518901698 5771357.78580093,-58004.6348104517 5771364.82969131,-58006.9391239111 5771366.76676215,-58012.8724527704 5771357.0333857,-58013.2064112428 5771356.47307652))",way
97617798,mobile_phone,Orange,38,Place du Marché,,,POINT (785080.8311166832 6230016.277856083),"SRID=3857;POLYGON((785070.055544293 6230005.45103124,785079.651284399 6229999.5267619,785081.031646085 6229999.13856206,785081.655035234 6230001.13019621,785084.415758605 6230000.13437908,785088.701559001 6230014.16022103,785091.762844998 6230025.13111237,785082.868417683 6230032.43942169,785077.491686278 6230034.07661887,785070.055544293 6230005.45103124))",way
100569604,mobile_phone,,,,,,POINT (-201117.33479359397 6362583.875629584),"SRID=3857;POLYGON((-201124.374920422 6362580.49468719,-201118.586306901 6362577.57992924,-201115.469361158 6362576.37973508,-201110.682623054 6362588.38168435,-201118.697626391 6362591.12498946,-201122.70512806 6362583.58090258,-201124.374920422 6362580.49468719))",way
100808717,mobile_phone,SFR,,,,,POINT (717695.5890086521 6136096.325224531),"SRID=3857;POLYGON((717684.872335113 6136092.53788695,717693.366012261 6136088.74851193,717700.802154246 6136085.49332326,717706.1900176 6136100.01648224,717701.681578223 6136102.3368513,717690.393781857 6136107.06105788,717684.872335113 6136092.53788695))",way
100817961,mobile_phone,Bouygues Telecom,,,,,POINT (717629.1610898282 6135998.002665089),"SRID=3857;POLYGON((717617.735550216 6135992.02820357,717636.771183142 6135988.05524914,717641.591317093 6136001.99398394,717637.194197207 6136003.4963639,717621.620600445 6136009.22210326,717617.735550216 6135992.02820357))",way
101109906,mobile_phone,MD. Phone,50,Rue Clemenceau,Wattignies,59139.0,POINT (339883.8127061557 6550813.692014493),"SRID=3857;POLYGON((339870.42789687 6550819.47014669,339875.882551919 6550816.83944327,339874.991995992 6550814.91026129,339872.876925667 6550815.96254232,339872.431647704 6550814.73488114,339893.248392483 6550804.38745846,339894.97384459 6550807.98274792,339896.699296697 6550811.57803894,339872.320328213 6550823.50389356,339870.42789687 6550819.47014669))",way
109804271,mobile_phone,Phone House,,,,,POINT (679984.0264534679 6289021.154912337),"SRID=3857;POLYGON((679961.936302455 6289032.99344896,679977.632350657 6288996.96115154,680006.241459791 6289009.36848187,679990.211453117 6289045.40083225,679961.936302455 6289032.99344896))",way
117240403,mobile_phone,SFR,,Quai d'Aiguillon,Lannion,22300.0,POINT (-385343.83996404073 6229556.089718528),"SRID=3857;POLYGON((-385357.686905327 6229558.93137119,-385357.241627363 6229557.74995481,-385342.102176616 6229543.91051807,-385334.421131751 6229552.34919632,-385332.306061426 6229554.54325404,-385339.764467309 6229567.03251649,-385347.300796836 6229563.62328356,-385357.686905327 6229558.93137119))",way
117243603,mobile_phone,Orange,,,,,POINT (-385422.9273865937 6229500.99965334),"SRID=3857;POLYGON((-385446.185900507 6229516.2317123,-385445.851942035 6229509.98711617,-385430.378532815 6229495.9789848,-385427.818184526 6229498.67934567,-385425.925753183 6229496.82284748,-385426.259711655 6229493.27862478,-385414.125887159 6229482.30842106,-385402.326021135 6229495.30389471,-385402.659979607 6229495.81021227,-385397.984560994 6229501.21093477,-385398.652477938 6229501.88602533,-385399.654353356 6229500.53584427,-385402.214701644 6229502.56111593,-385404.329771969 6229500.53584427,-385409.005190582 6229504.58638808,-385418.57866679 6229502.7298886,-385421.027695588 6229505.0927062,-385420.359778643 6229505.93656978,-385430.489852305 6229515.21907478,-385442.846315783 6229516.40048524,-385446.185900507 6229516.2317123))",way
120881692,mobile_phone,Orange,,Avenue du 4 Septembre,Draguignan,83300.0,POINT (719102.2324058918 5393983.654740891),"SRID=3857;POLYGON((719080.384603647 5393992.28166315,719095.412734904 5393966.48399888,719101.312667916 5393970.16937509,719103.984335695 5393965.86976965,719112.956686653 5393971.12143084,719124.689760983 5393978.0008044,719115.450243247 5393993.97079844,719110.997463615 5393991.05320132,719104.874891622 5394001.4951321,719095.412734904 5393995.96704963,719093.075025598 5393999.65243757,719080.384603647 5393992.28166315))",way
122014419,mobile_phone,Orange,11,Rue Guy de Maupassant,Yvetot,76190.0,POINT (83802.26529581007 6380407.831915735),"SRID=3857;POLYGON((83797.4164869986 6380419.78428477,83797.5500703875 6380410.54027789,83797.750445471 6380395.90109086,83807.2126021884 6380395.90109086,83806.6560047344 6380419.92174219,83801.4907803616 6380419.85301348,83797.4164869986 6380419.78428477))",way
124905421,mobile_phone,Free,,,,,POINT (543189.0955133118 5462541.376408922),"SRID=3857;POLYGON((543181.039692828 5462536.42589755,543199.240429573 5462535.79161386,543187.006417535 5462551.91171536,543181.039692828 5462536.42589755))",way
124905422,mobile_phone,Orange,,,,,POINT (543227.131527794 5462615.827737227),"SRID=3857;POLYGON((543216.428158951 5462619.82684905,543228.183497179 5462604.44920988,543237.834897031 5462611.82861701,543226.079558803 5462627.20626854,543216.428158951 5462619.82684905))",way
124905511,mobile_phone,Bouygues Telecom,,,,,POINT (543172.0764067512 5462571.745871005),"SRID=3857;POLYGON((543162.248962782 5462572.33261392,543167.380791308 5462565.33999809,543170.642452388 5462564.78306431,543173.970905163 5462567.3666185,543176.397670062 5462564.81400508,543181.952512653 5462569.20759468,543173.191668727 5462580.98056874,543162.248962782 5462572.33261392))",way
124979654,mobile_phone,SFR,,,,,POINT (9769.709235650147 6178619.617480271),"SRID=3857;POLYGON((9763.83253747803 6178616.66275907,9768.73059507293 6178613.30744076,9775.8550424837 6178622.19903715,9770.06642896245 6178625.88989121,9763.83253747803 6178616.66275907))",way
125139272,mobile_phone,Club Bouygues,,,,,POINT (540130.6675812299 5482527.415799791),"SRID=3857;POLYGON((540121.534807866 5482524.49915824,540128.303032906 5482518.14248881,540139.735544611 5482530.62327076,540133.301278043 5482536.62335458,540121.534807866 5482524.49915824))",way
125286945,mobile_phone,Free,,,,,POINT (538622.4921095723 5484116.793739558),"SRID=3857;POLYGON((538613.990603798 5484119.60442314,538615.504548873 5484111.35482177,538623.196725687 5484113.1070861,538624.944441692 5484106.02049702,538629.107790648 5484107.13698334,538630.209853607 5484107.38509143,538626.881400832 5484125.69858831,538616.528688188 5484123.69821304,538613.990603798 5484119.60442314))",way
125456179,mobile_phone,SFR,,,Orange,,POINT (538692.0750079147 5484131.170046911),"SRID=3857;POLYGON((538687.005057809 5484139.8873092,538689.131260083 5484126.53595484,538689.999552112 5484121.10858058,538697.357770453 5484122.76780608,538693.873470391 5484141.36045635,538687.005057809 5484139.8873092))",way
125457328,mobile_phone,Orange,,,,,POINT (538771.5644093428 5484161.621875321),"SRID=3857;POLYGON((538758.171608273 5484172.59123155,538761.589116641 5484157.037858,538762.301561382 5484153.53331287,538771.285044289 5484150.88164466,538785.033001402 5484153.64186071,538781.593229136 5484171.16459997,538772.409371146 5484168.97813245,538766.887924402 5484167.95467974,538765.652278055 5484174.06438395,538758.171608273 5484172.59123155))",way
125616521,mobile_phone,Tech in Phone,,,,,POINT (538458.6391896597 5454277.115387565),"SRID=3857;POLYGON((538449.104174035 5454278.40720639,538463.642499533 5454268.76239409,538468.295654248 5454275.88780733,538453.312050787 5454285.4708013,538449.104174035 5454278.40720639))",way
128761205,mobile_phone,Bouygues Telecom,36,Rue Louis Pasteur,,,POINT (-453045.1064162535 6192172.040148241),"SRID=3857;POLYGON((-453054.297521949 6192179.91950433,-453048.954186391 6192166.47685631,-453049.844742318 6192166.14079038,-453047.507033011 6192159.92357309,-453035.929805968 6192163.62029633,-453038.21185553 6192170.54325509,-453040.716544072 6192177.39900621,-453044.056128796 6192184.79246947,-453048.798339104 6192182.59123315,-453054.297521949 6192179.91950433))",way
130326248,mobile_phone,Internity,41,Rue Henri Chéron,,,POINT (25204.121281708936 6299623.45833611),"SRID=3857;POLYGON((25194.5952608202 6299635.66868949,25200.88481205 6299608.38923717,25213.519574255 6299611.18014402,25207.5528495485 6299638.39153425,25194.5952608202 6299635.66868949))",way
133045650,mobile_phone,Coriolis Télecom,35,Avenue Cavaignac,Gourdon,46300.0,POINT (153513.89069362383 5579901.15565534),"SRID=3857;POLYGON((153506.683497164 5579906.52818514,153515.255097955 5579892.26789928,153515.923014899 5579892.73801823,153520.15315555 5579895.24531975,153521.043711476 5579896.02885161,153515.255097955 5579905.43123928,153512.583430176 5579909.97573015,153509.210449605 5579908.06390958,153506.683497164 5579906.52818514))",way
134442062,mobile_phone,Bouygues Telecom,,,,,POINT (-42582.01179476541 5835301.886448219),"SRID=3857;POLYGON((-42589.3788921771 5835311.32443082,-42584.458570684 5835290.13620418,-42574.4620804108 5835292.70007364,-42579.8165479179 5835313.71093138,-42589.3788921771 5835311.32443082))",way
135005425,mobile_phone,Orange,8,Grande Rue,La Flèche,72200.0,POINT (-8308.169593016504 6056982.337730688),"SRID=3857;POLYGON((-8314.85351751646 6056978.63547825,-8309.94432797247 6056978.99936409,-8309.36546662035 6056974.89737911,-8305.246645461 6056975.26126479,-8304.4896729236 6056972.00283442,-8308.92018865718 6056971.73819039,-8308.83113306454 6056971.04349983,-8308.38585510137 6056968.81056627,-8304.20024224754 6056968.66170406,-8303.00912369605 6056973.25989371,-8303.26515852488 6056991.96694237,-8314.84238556738 6056990.01518827,-8314.85351751646 6056978.63547825))",way
136064480,mobile_phone,Bouygues Telecom,,,,,POINT (596841.2310004388 5375334.471887405),"SRID=3857;POLYGON((596834.006365036 5375334.78604684,596836.277282649 5375329.19246055,596848.455634941 5375334.15772602,596846.184717329 5375339.7513153,596834.006365036 5375334.78604684))",way
136064510,mobile_phone,Tel And Com,,,,,POINT (596946.5326813419 5375245.6208970165),"SRID=3857;POLYGON((596935.730115723 5375248.21609864,596940.861944249 5375236.0635754,596957.337228886 5375243.03633269,596952.205400361 5375255.17354029,596940.962131791 5375250.42286371,596935.730115723 5375248.21609864))",way
136064515,mobile_phone,SFR,,,,,POINT (596875.4789921716 5375357.505572172),"SRID=3857;POLYGON((596865.342801695 5375361.7579075,596869.650865988 5375351.16837786,596871.187074961 5375347.383122,596885.614080968 5375353.25256798,596879.769807702 5375367.62736256,596865.342801695 5375361.7579075))",way
136117859,mobile_phone,Free Center Vélizy 2,,,,,POINT (247070.5113405422 6237659.707532121),"SRID=3857;POLYGON((247059.494504238 6237650.6987325,247072.418697119 6237646.12059916,247081.346520281 6237668.94371647,247068.90100121 6237673.35292682,247059.494504238 6237650.6987325))",way
138271743,mobile_phone,Tel and Com,,,,,POINT (-42666.0137420234 5835262.500136252),"SRID=3857;POLYGON((-42672.1894613782 5835264.41692596,-42669.9742035114 5835257.24134135,-42662.4156100865 5835259.09570535,-42663.1280548276 5835262.04656365,-42659.5101713768 5835262.94955874,-42660.6122343357 5835267.48066049,-42672.1894613782 5835264.41692596))",way
141621273,mobile_phone,Vivre Mobile,,,,,POINT (581326.4291929592 5881747.932828877),"SRID=3857;POLYGON((581322.180788499 5881738.93171342,581330.084472345 5881738.60750645,581330.418430817 5881750.27896464,581330.641069799 5881756.76311479,581322.960024934 5881757.5736339,581322.626066462 5881750.76527574,581322.180788499 5881738.93171342))",way
148078959,mobile_phone,Bricomedia,,Rue Jean Danaux,Juvisy-sur-Orge,91260.0,POINT (265543.6294009284 6222351.359200444),"SRID=3857;POLYGON((265534.19964773 6222347.97961482,265534.31096722 6222347.76039521,265545.776874772 6222341.52107038,265553.079433368 6222354.89346679,265541.557866071 6222361.20025374,265534.19964773 6222347.97961482))",way
154625097,mobile_phone,Alloben,,,,,POINT (599932.6082024882 5354146.756646679),"SRID=3857;POLYGON((599930.235550012 5354148.37309012,599932.016661864 5354143.93899199,599935.022288116 5354145.16219126,599933.129856772 5354149.59628997,599930.235550012 5354148.37309012))",way
155707468,mobile_phone,Info Phone Service,,,,,POINT (-63450.93081220493 5594819.33042963),"SRID=3857;POLYGON((-63456.6738512885 5594822.06740705,-63454.5587809634 5594821.91044213,-63455.3380173989 5594813.43434063,-63447.1003750802 5594812.17862257,-63446.6550971171 5594812.49255207,-63445.6532216999 5594823.16616155,-63446.2098191539 5594823.79402132,-63456.0059343437 5594826.93332084,-63456.6738512885 5594822.06740705))",way
158139125,mobile_phone,Orange,,,,,POINT (603317.3258950907 5356443.61046582),"SRID=3857;POLYGON((603291.972852478 5356466.16666663,603295.423756692 5356431.90860164,603296.5369516 5356421.66179422,603297.093549054 5356416.15605161,603342.511901298 5356421.20298221,603337.947802175 5356470.75480991,603291.972852478 5356466.16666663))",way
163878527,mobile_phone,SFR,,,,,POINT (269663.1445782103 5957106.034967691),"SRID=3857;POLYGON((269646.753519749 5957107.85178045,269649.425187528 5957104.25462095,269647.866714657 5957097.38732058,269675.807906846 5957092.15509536,269680.260686478 5957113.73804465,269649.313868037 5957119.62431283,269646.753519749 5957107.85178045))",way
168465220,mobile_phone,SFR,,,,,POINT (-23288.962092900325 5941812.631517706),"SRID=3857;POLYGON((-23300.0488470094 5941808.44340175,-23287.3806889571 5941801.39227983,-23278.0298517305 5941816.80029436,-23290.2415998705 5941823.96568328,-23300.0488470094 5941808.44340175))",way
197226669,mobile_phone,SFR,41,Place de la République,Auray,56400.0,POINT (-332188.3662234801 6051491.222769504),"SRID=3857;POLYGON((-332199.067827833 6051480.65074023,-332189.494351625 6051474.86533806,-332185.041571993 6051476.84890408,-332179.586916944 6051507.59423573,-332187.49060079 6051509.08191584,-332199.067827833 6051480.65074023))",way
219098883,mobile_phone,Bouygues Télécom,,,,,POINT (683739.2453782294 6335458.574277833),"SRID=3857;POLYGON((683731.102941225 6335453.97990892,683734.954595606 6335447.67357902,683749.849143474 6335456.74854304,683743.926946564 6335466.49004076,683734.520449592 6335468.60924527,683731.102941225 6335453.97990892))",way
219117674,mobile_phone,Tel and Com,,,,,POINT (683655.5191662614 6335293.71756693),"SRID=3857;POLYGON((683646.500128222 6335290.64919914,683661.951273544 6335286.68432024,683664.600677425 6335296.95541123,683648.804441681 6335300.57849458,683646.500128222 6335290.64919914))",way
